OBJECTID,AREA,PERIMETER,ZN10OAKS_,ZN10OAKS_I,COMMENT,FEAT_NAME,DATAFILE,UNFILT_POS,GPS_HEIGHT,FILESOURCE,MAX_PDOP,CORR_TYPE,STD_DEV,HORZ_PREC,VERT_PREC,POINT_X,POINT_Y,SOURCEDATA,F_AREA,ACRES,INSIDE_X,INSIDE_Y,FID_1,FID1,AREA_1,PERIMETE_1,ZN10OAKS1,ZN10OAKS_1,COMMENT_1,FEAT_NAM_1,DATAFILE_1,UNFILT_P_1,GPS_HEIG_1,FILESOUR_1,MAX_PDOP_1,CORR_TYP_1,STD_DEV_1,HORZ_PRE_1,VERT_PRE_1,POINT_X_1,POINT_Y_1,Age,Age_2,cwd,fog,ppt,tmn,tmx
11,0,0,8,8,QTB,Point_generic,blk91301.ssf,10,369.558,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7793.549875,-448726.0307, ,0,0,0,0,10,31,0,0,8,8,QTB,Point_generic,blk91301.ssf,10,369.558,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7793.549875,-448726.0307,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
12,0,0,9,9,QTB,Point_generic,blk91301.ssf,10,369.064,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7792.771211,-448725.0537, ,0,0,0,0,11,32,0,0,9,9,QTB,Point_generic,blk91301.ssf,10,369.064,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7792.771211,-448725.0537,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
13,0,0,11,11,QTSE,Point_generic,blk91301.ssf,10,362.872,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7765.104614,-448727.8651, ,0,0,0,0,12,34,0,0,11,11,QTSE,Point_generic,blk91301.ssf,10,362.872,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7765.104614,-448727.8651,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
14,0,0,12,12,QTB,Point_generic,blk91301.ssf,10,362.505,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7766.397723,-448725.0774, ,0,0,0,0,13,35,0,0,12,12,QTB,Point_generic,blk91301.ssf,10,362.505,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7766.397723,-448725.0774,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
15,0,0,13,13,QTSE,Point_generic,blk91301.ssf,10,362.649,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7767.85972,-448723.7846, ,0,0,0,0,14,36,0,0,13,13,QTSE,Point_generic,blk91301.ssf,10,362.649,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7767.85972,-448723.7846,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
16,0,0,14,14,QTB,Point_generic,blk91301.ssf,10,362.406,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7768.003054,-448722.2805, ,0,0,0,0,15,37,0,0,14,14,QTB,Point_generic,blk91301.ssf,10,362.406,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7768.003054,-448722.2805,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
17,0,0,15,15,QTB,Point_generic,blk91301.ssf,10,362.018,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7768.396165,-448720.7691, ,0,0,0,0,16,38,0,0,15,15,QTB,Point_generic,blk91301.ssf,10,362.018,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7768.396165,-448720.7691,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
18,0,0,16,16,QTB,Point_generic,blk91301.ssf,10,361.287,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7769.542386,-448717.2358, ,0,0,0,0,17,39,0,0,16,16,QTB,Point_generic,blk91301.ssf,10,361.287,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7769.542386,-448717.2358,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
19,0,0,17,17,QTSE,Point_generic,blk91301.ssf,10,363.257,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7760.428401,-448732.5019, ,0,0,0,0,18,40,0,0,17,17,QTSE,Point_generic,blk91301.ssf,10,363.257,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7760.428401,-448732.5019,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
20,0,0,18,18,QTSE,Point_generic,blk91301.ssf,10,363.51,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7760.002178,-448735.0142, ,0,0,0,0,19,41,0,0,18,18,QTSE,Point_generic,blk91301.ssf,10,363.51,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7760.002178,-448735.0142,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
21,0,0,19,19,QTSE,Point_generic,blk91301.ssf,10,362.985,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7747.766427,-448741.8725, ,0,0,0,0,20,42,0,0,19,19,QTSE,Point_generic,blk91301.ssf,10,362.985,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7747.766427,-448741.8725,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
22,0,0,20,20,QTB,Point_generic,blk91301.ssf,10,362.7,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7745.496434,-448741.1892, ,0,0,0,0,21,43,0,0,20,20,QTB,Point_generic,blk91301.ssf,10,362.7,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7745.496434,-448741.1892,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
23,0,0,21,21,QTB,Point_generic,blk91301.ssf,10,360.729,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7741.636001,-448739.5526, ,0,0,0,0,22,44,0,0,21,21,QTB,Point_generic,blk91301.ssf,10,360.729,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7741.636001,-448739.5526,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
24,0,0,22,22,QTSE,Point_generic,blk91301.ssf,10,361.056,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7742.741552,-448741.02, ,0,0,0,0,23,45,0,0,22,22,QTSE,Point_generic,blk91301.ssf,10,361.056,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7742.741552,-448741.02,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
25,0,0,23,23,QTSE,Point_generic,blk91301.ssf,10,360.578,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7740.214449,-448740.0942, ,0,0,0,0,24,46,0,0,23,23,QTSE,Point_generic,blk91301.ssf,10,360.578,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7740.214449,-448740.0942,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
26,0,0,24,24,QTSE,Point_generic,blk91301.ssf,10,359.365,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7741.599335,-448738.3037, ,0,0,0,0,25,47,0,0,24,24,QTSE,Point_generic,blk91301.ssf,10,359.365,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7741.599335,-448738.3037,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
27,0,0,25,25,QTSE,Point_generic,blk91301.ssf,10,359.093,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7742.95111,-448737.5142, ,0,0,0,0,26,48,0,0,25,25,QTSE,Point_generic,blk91301.ssf,10,359.093,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7742.95111,-448737.5142,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
28,0,0,26,26,QTA QTY POSSIBLY 100 STEMS,Point_generic,blk91301.ssf,35,358.762,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7741.38267,-448737.3102, ,0,0,0,0,27,49,0,0,26,26,QTA QTY POSSIBLY 100 STEMS,Point_generic,blk91301.ssf,35,358.762,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7741.38267,-448737.3102,adult,young,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
29,0,0,27,27,QTB,Point_generic,blk91301.ssf,10,358.209,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7739.806897,-448736.8565, ,0,0,0,0,28,50,0,0,27,27,QTB,Point_generic,blk91301.ssf,10,358.209,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7739.806897,-448736.8565,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
30,0,0,28,28,3 QTSE,Point_generic,blk91301.ssf,10,358.279,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7739.579119,-448737.6131, ,0,0,0,0,29,51,0,0,28,28,3 QTSE,Point_generic,blk91301.ssf,10,358.279,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7739.579119,-448737.6131,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
31,0,0,29,29,QTSE,Point_generic,blk91301.ssf,13,358.789,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7735.894907,-448737.7211, ,0,0,0,0,30,52,0,0,29,29,QTSE,Point_generic,blk91301.ssf,13,358.789,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7735.894907,-448737.7211,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
32,0,0,30,30,QTA,Point_generic,blk91301.ssf,5,359.047,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7731.336475,-448737.8549, ,0,0,0,0,31,53,0,0,30,30,QTA,Point_generic,blk91301.ssf,5,359.047,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7731.336475,-448737.8549,adult,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
33,0,0,31,31,QTB,Point_generic,blk91301.ssf,10,361.032,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7733.374911,-448741.2948, ,0,0,0,0,32,54,0,0,31,31,QTB,Point_generic,blk91301.ssf,10,361.032,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7733.374911,-448741.2948,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
34,0,0,32,32,QTB,Point_generic,blk91301.ssf,10,361.431,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7736.908455,-448742.441, ,0,0,0,0,33,55,0,0,32,32,QTB,Point_generic,blk91301.ssf,10,361.431,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7736.908455,-448742.441,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
35,0,0,33,33,QTSE,Point_generic,blk91301.ssf,10,361.823,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7733.676019,-448743.0358, ,0,0,0,0,34,56,0,0,33,33,QTSE,Point_generic,blk91301.ssf,10,361.823,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7733.676019,-448743.0358,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
36,0,0,34,34,QTSE,Point_generic,blk91301.ssf,10,363.388,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7733.172685,-448745.0504, ,0,0,0,0,35,57,0,0,34,34,QTSE,Point_generic,blk91301.ssf,10,363.388,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7733.172685,-448745.0504,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
37,0,0,35,35,QTSE,Point_generic,blk91301.ssf,10,362.93,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7731.409579,-448744.6021, ,0,0,0,0,36,58,0,0,35,35,QTSE,Point_generic,blk91301.ssf,10,362.93,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7731.409579,-448744.6021,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
38,0,0,36,36,QTB,Point_generic,blk91301.ssf,10,361.587,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7724.272486,-448746.3114, ,0,0,0,0,37,59,0,0,36,36,QTB,Point_generic,blk91301.ssf,10,361.587,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7724.272486,-448746.3114,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
39,0,0,37,37,QTSE,Point_generic,blk91301.ssf,11,360.814,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7723.501156,-448745.5841, ,0,0,0,0,38,60,0,0,37,37,QTSE,Point_generic,blk91301.ssf,11,360.814,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7723.501156,-448745.5841,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
40,0,0,38,38,QTSE OR QTB,Point_generic,blk91301.ssf,12,359.144,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7723.545381,-448742.833, ,0,0,0,0,39,61,0,0,38,38,QTSE OR QTB,Point_generic,blk91301.ssf,12,359.144,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7723.545381,-448742.833,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
41,0,0,39,39,QTSE,Point_generic,blk91301.ssf,10,357.89,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7721.066056,-448741.4059, ,0,0,0,0,40,62,0,0,39,39,QTSE,Point_generic,blk91301.ssf,10,357.89,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7721.066056,-448741.4059,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
42,0,0,40,40,QTSE,Point_generic,blk91301.ssf,10,357.141,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7720.217615,-448740.1808, ,0,0,0,0,41,63,0,0,40,40,QTSE,Point_generic,blk91301.ssf,10,357.141,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7720.217615,-448740.1808,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
43,0,0,41,41,QTSE,Point_generic,blk91301.ssf,10,356.069,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7722.899165,-448737.8524, ,0,0,0,0,42,64,0,0,41,41,QTSE,Point_generic,blk91301.ssf,10,356.069,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7722.899165,-448737.8524,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
44,0,0,42,42,2 QTA,Point_generic,blk91301.ssf,11,354.703,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7726.576271,-448733.2449, ,0,0,0,0,43,65,0,0,42,42,2 QTA,Point_generic,blk91301.ssf,11,354.703,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7726.576271,-448733.2449,adult,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
45,0,0,43,43,QTB,Point_generic,blk91301.ssf,10,353.637,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7729.290933,-448729.9155, ,0,0,0,0,44,66,0,0,43,43,QTB,Point_generic,blk91301.ssf,10,353.637,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7729.290933,-448729.9155,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
46,0,0,44,44,QTB,Point_generic,blk91301.ssf,10,351.826,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7731.542706,-448727.8496, ,0,0,0,0,45,67,0,0,44,44,QTB,Point_generic,blk91301.ssf,10,351.826,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7731.542706,-448727.8496,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
47,0,0,45,45,QTB,Point_generic,blk91301.ssf,10,352.789,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7728.321383,-448726.6942, ,0,0,0,0,46,68,0,0,45,45,QTB,Point_generic,blk91301.ssf,10,352.789,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7728.321383,-448726.6942,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
48,0,0,46,46,QTB,Point_generic,blk91301.ssf,10,353.022,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7732.618925,-448728.318, ,0,0,0,0,47,69,0,0,46,46,QTB,Point_generic,blk91301.ssf,10,353.022,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7732.618925,-448728.318,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
49,0,0,47,47,QTB QTY,Point_generic,blk91301.ssf,11,351.949,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7724.313837,-448728.5617, ,0,0,0,0,48,70,0,0,47,47,QTB QTY,Point_generic,blk91301.ssf,11,351.949,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7724.313837,-448728.5617,young,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
50,0,0,48,48,QTA QTY QTB MAYBE 30 STEMS,Point_generic,blk91301.ssf,26,354.574,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7721.955621,-448729.1308, ,0,0,0,0,49,71,0,0,48,48,QTA QTY QTB MAYBE 30 STEMS,Point_generic,blk91301.ssf,26,354.574,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7721.955621,-448729.1308,adult,young,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
51,0,0,49,49,QTB,Point_generic,blk91301.ssf,10,347.829,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7717.661407,-448734.0064, ,0,0,0,0,50,72,0,0,49,49,QTB,Point_generic,blk91301.ssf,10,347.829,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7717.661407,-448734.0064,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
52,0,0,50,50,QTBB,Point_generic,blk91301.ssf,10,354.438,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7713.642748,-448737.6239, ,0,0,0,0,51,73,0,0,50,50,QTBB,Point_generic,blk91301.ssf,10,354.438,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7713.642748,-448737.6239,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
53,0,0,51,51,4 QTSE,Point_generic,blk91301.ssf,10,354.887,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7713.021858,-448739.892, ,0,0,0,0,52,74,0,0,51,51,4 QTSE,Point_generic,blk91301.ssf,10,354.887,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7713.021858,-448739.892,seedling,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
54,0,0,52,52,QTB,Point_generic,blk91301.ssf,10,353.402,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7705.826101,-448739.6031, ,0,0,0,0,53,75,0,0,52,52,QTB,Point_generic,blk91301.ssf,10,353.402,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7705.826101,-448739.6031,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
55,0,0,53,53,QTB,Point_generic,blk91301.ssf,10,352.574,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7702.531222,-448740.1997, ,0,0,0,0,54,76,0,0,53,53,QTB,Point_generic,blk91301.ssf,10,352.574,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,-7702.531222,-448740.1997,unknown,unknown,896.5570068,0.354097009,535.0830078,7.417900085,20.7560997
